episode_number,pitch_number,brand_name,idea,Mega_Big_Category_idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,ROI,ask_bin,equity_per_shark,Valuation,Valuation_category
18,55,India Hemp and Co,Hemp Food Products,Food & Agriculture,FALSE,50,4,1250,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,,0,Very Low Valuation
18,56,Otua,Electric Auto Vehicle,Mobility & Automotive,TRUE,100,1,10000,1,1,100,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,100,51-100,1,100,Very Low Valuation
18,57,Anthyesti,Funeral Service,Consumer Products & Lifestyle,FALSE,50,2.5,2000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
19,58,Ethik,Leather-free Shoes,Social Impact & Sustainability,FALSE,15,5,300,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
19,59,WeSTOCK,Livestock health monitoring AI,Technology & SaaS,TRUE,50,5,1000,60,10,600,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,15,2.5,600,0-50,2.5,600,Moderate Valuation
19,60,KetoIndia,Customised Keto Diets for various medical issues,#N/A,FALSE,125,1.25,10000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,101-200,0,0,Very Low Valuation
19,61,Magic lock,LPG Cylinder lock,Technology & SaaS,FALSE,120,8,1500,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,101-200,0,0,Very Low Valuation
20,62,The State Plate,Delicacies,Food & Agriculture,TRUE,65,2,3250,40,3,1333,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,40,3,1333.333333,51-100,3,1333.333333,Moderate Valuation
20,63,Bakarmax,Comics & Animation,Technology & SaaS,FALSE,35,5,700,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
20,64,IN A CAN,Can Cocktails,Food & Agriculture,TRUE,50,2,2500,100,10,1000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,20,2,1000,0-50,2,1000,Moderate Valuation
21,65,Get a Whey,Sugar-Free Icecream,Food & Agriculture,TRUE,100,8,1250,100,15,667,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,33.33333333,5,666.6666667,51-100,5,666.6666666,Moderate Valuation
21,66,Sid07 Designs,Inventions,Industrial & Infrastructure,TRUE,47,10,470,25,75,33,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,25,75,33.33333333,0-50,75,33.33333333,Very Low Valuation
21,67,The Quirky Nari,Customised Apparels,Consumer Products & Lifestyle,TRUE,35,5,700,35,24,146,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,17.5,12,145.8333333,0-50,12,145.8333333,Very Low Valuation
22,68,Hair Originals,Natural Hair Extensions,Consumer Products & Lifestyle,TRUE,60,2,3000,60,4,1500,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,20,1.333333333,1500,51-100,1.333333333,1500,High Valuation
22,69,Poo de Cologne,Toilet Spray with Essential Oils,Consumer Products & Lifestyle,FALSE,75,5,1500,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
22,70,Moonshine Meads,Meads,Food & Agriculture,FALSE,80,5,1600,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
22,71,Falhari,Fresh Fruits,Food & Agriculture,FALSE,50,2,2500,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
23,72,Namhya Foods,Ayurvedic Enriched Food,Health & Wellness,TRUE,100,5,2000,50,10,500,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,50,10,500,51-100,10,500,Low Valuation
23,73,Urban Monkey,Streetwear,Consumer Products & Lifestyle,FALSE,100,1,10000,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
23,74,Guardian Gears,Motorcycle Luggage,Mobility & Automotive,FALSE,30,5,600,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
23,75,Modern Myth,Bags,Consumer Products & Lifestyle,FALSE,75,5,1500,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
24,76,The Sass Bar,Gifts,Consumer Products & Lifestyle,TRUE,40,8,500,50,35,143,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,25,17.5,142.8571429,0-50,17.5,142.8571429,Very Low Valuation
24,77,KG Agrotech,Agricultural Innovations,Industrial & Infrastructure,TRUE,30,10,300,10,40,25,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,10,40,25,0-50,40,25,Very Low Valuation
24,78,Nuskha Kitchen,Homemade Foods,Food & Agriculture,FALSE,20,10,200,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
25,79,PawsIndia,Dog Products,Consumer Products & Lifestyle,TRUE,50,4,1250,50,15,333,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,15,333.3333333,0-50,15,333.3333333,Low Valuation
25,80,Sunfox Technologies,Portable ECG Device,Health & Wellness,TRUE,100,2,5000,100,6,1667,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,20,1.2,1666.666667,51-100,1.2,1666.666667,High Valuation
25,81,Alpino,Roasted Peanut Products,Food & Agriculture,FALSE,150,2,7500,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,101-200,0,0,Very Low Valuation
26,82,Isak Fragrances,Perfumes,Consumer Products & Lifestyle,TRUE,50,8,625,50,50,100,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,50,50,100,0-50,50,100,Very Low Valuation
26,83,Julaa Automation,Automatic Cradle,Consumer Products & Lifestyle,FALSE,50,10,500,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
26,84,Rare Planet,Handicrafts,Consumer Products & Lifestyle,TRUE,65,1,6500,65,3,2167,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,65,3,2166.666667,51-100,3,2166.666667,High Valuation
27,85,Theka Coffee,Coffee Products,Food & Agriculture,FALSE,50,10,500,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
27,86,Watt Technovations,Ventilated PPE Kits,Health & Wellness,TRUE,0.00101,10,0,0.00101,4,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,0.0002525,1,0.02525,0-50,1,0.02525,Very Low Valuation
27,87,Aliste Technologies,Automation Solutions,Industrial & Infrastructure,FALSE,60,5,1200,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
27,88,Insurance Samadhan,Insurance Solutions,FinTech,TRUE,100,1,10000,100,4,2500,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,100,4,2500,51-100,4,2500,High Valuation
